"equipment_id","equipment_name","purchase_date","availability_status","last_maintenance_date","next_scheduled_maintenance"
42,"Leg Adduction Machine","2023-11-05","Available","2023-11-05","2024-02-03 00:00:00"
54,"Cold Plunge Bath","2024-03-15","In Use","2024-03-15","2024-06-13 00:00:00"
29,"Foam Roller 1","2023-04-30","Available","2023-04-30","2023-07-29 00:00:00"
4,"Treadmill 4","2022-01-15","Maintenance","2022-01-15","2022-04-15 00:00:00"
34,"Plyo Box","2023-08-19","Available","2023-08-19","2023-11-17 00:00:00"
41,"Leg Abduction Machine","2023-11-05","Available","2023-11-05","2024-02-03 00:00:00"
51,"Standup Tanning Booth","2024-06-15","Available","2024-06-15","2024-09-13 00:00:00"
40,"Hammer Strength Row","2023-10-12","In Use","2023-10-12","2024-01-10 00:00:00"
46,"Power Rack","2024-01-20","Available","2024-01-20","2024-04-19 00:00:00"
43,"Calf Raise Machine","2023-11-25","Available","2023-11-25","2024-02-23 00:00:00"
52,"Redlight Therapy Wraps","2024-06-15","In Use","2024-06-15","2024-09-13 00:00:00"
53,"Leg Compression Boots","2024-03-15","Available","2024-03-15","2024-06-13 00:00:00"
32,"TRX Suspension Trainer","2023-06-22","Available","2023-06-22","2023-09-20 00:00:00"
7,"Stationary Bike 1","2022-03-10","Available","2022-03-10","2022-06-08 00:00:00"
10,"Rowing Machine 2","2022-04-05","In Use","2022-04-05","2022-07-04 00:00:00"
9,"Rowing Machine 1","2022-04-05","Available","2023-06-05","2023-09-03 00:00:00"
35,"Stability Ball 1","2023-09-03","Available","2023-09-03","2023-12-02 00:00:00"
45,"Stair Climber","2024-01-02","Available","2024-01-02","2024-04-01 00:00:00"
38,"Hammer Strength Chest Press","2023-10-12","Available","2023-10-12","2024-01-10 00:00:00"
15,"Leg Press Machine","2022-07-22","Available","2022-07-22","2022-10-20 00:00:00"
6,"Elliptical 2","2022-02-20","In Use","2022-02-20","2022-05-21 00:00:00"
48,"Preacher Curl Bench","2024-02-28","Available","2024-02-28","2024-05-28 00:00:00"
12,"Squat Rack 2","2022-05-12","Available","2022-05-12","2022-08-10 00:00:00"
26,"Yoga Mat 1","2023-04-02","Available","2023-04-02","2023-07-01 00:00:00"
39,"Hammer Strength Shoulder Press","2023-10-12","Available","2023-10-12","2024-01-10 00:00:00"
24,"Kettlebell Set","2023-02-14","Available","2023-02-14","2023-05-15 00:00:00"
19,"Leg Curl Machine","2022-10-05","Available","2022-10-05","2023-01-03 00:00:00"
36,"Stability Ball 2","2023-09-03","In Use","2023-09-03","2023-12-02 00:00:00"
25,"Medicine Ball Set","2023-03-21","Available","2023-03-21","2023-06-19 00:00:00"
31,"Resistance Band Set","2023-05-15","Available","2023-05-15","2023-08-13 00:00:00"
30,"Foam Roller 2","2023-04-30","Available","2023-04-30","2023-07-29 00:00:00"
50,"Adjustable Bench 2","2024-03-15","In Use","2024-03-15","2024-06-13 00:00:00"
21,"Smith Machine","2022-12-20","Available","2022-12-20","2023-03-20 00:00:00"
49,"Adjustable Bench 1","2024-03-15","Available","2024-03-15","2024-06-13 00:00:00"
14,"Bench Press 2","2022-06-18","In Use","2022-06-18","2022-09-16 00:00:00"
47,"Seated Calf Raise Machine","2024-02-08","Maintenance","2024-02-08","2024-05-08 00:00:00"
3,"Treadmill 3","2022-01-15","In Use","2022-01-15","2022-04-15 00:00:00"
17,"Chest Fly Machine","2022-09-14","Available","2022-09-14","2022-12-13 00:00:00"
22,"Dumbbell Set (5-50 lbs)","2023-01-07","Available","2023-01-07","2023-04-07 00:00:00"
28,"Yoga Mat 3","2023-04-02","In Use","2023-04-02","2023-07-01 00:00:00"
37,"Bosu Ball","2023-09-30","Available","2023-09-30","2023-12-29 00:00:00"
20,"Cable Crossover Machine","2022-11-11","Available","2023-05-25","2023-08-23 00:00:00"
13,"Bench Press 1","2022-06-18","Available","2022-06-18","2022-09-16 00:00:00"
33,"Battle Ropes","2023-07-08","Available","2023-07-08","2023-10-06 00:00:00"
1,"Treadmill 1","2022-01-15","Available","2023-05-15","2023-08-13 00:00:00"
5,"Elliptical 1","2022-02-20","Available","2023-05-20","2023-08-18 00:00:00"
18,"Leg Extension Machine","2022-10-05","Maintenance","2022-10-05","2023-01-03 00:00:00"
2,"Treadmill 2","2022-01-15","Available","2022-01-15","2022-04-15 00:00:00"
16,"Lat Pulldown Machine","2022-08-30","Available","2022-08-30","2022-11-28 00:00:00"
27,"Yoga Mat 2","2023-04-02","Available","2023-04-02","2023-07-01 00:00:00"
23,"Barbell Set","2023-01-07","Available","2023-01-07","2023-04-07 00:00:00"
44,"Assisted Pull-up Machine","2023-12-10","Available","2023-12-10","2024-03-09 00:00:00"
11,"Squat Rack 1","2022-05-12","Available","2022-05-12","2022-08-10 00:00:00"
8,"Stationary Bike 2","2022-03-10","Available","2023-05-30","2023-08-28 00:00:00"
